"Code","Year","Estimate","Low","High"
"HTI",2002,9.71374,5.56745,15.6711
"SUR",2003,146.82407,146.82407,146.82407
"SSD",2005,312.4534,226.1887,420.31122
"SLE",2008,436.95292,326.73453,573.48214
"AFR",2019,227.17607,207.17069,249.71488
"GUF",2015,3.1349,2.78206,3.60989
"CHN",2004,0.04994,0.04994,0.04994
"TKM",2014,0,0,0
"AMR",2003,9.42884,8.67001,10.27022
"VUT",2020,3.78106,2.46605,5.68832
"NAM",2004,68.43409,33.46716,128.77634
"LAO",2005,11.46057,7.47606,16.63129
"PAK",2022,11.08383,8.75663,14.85385
"LBR",2018,351.46174,244.81103,491.62454
"LBR",2022,189.30474,137.03884,256.01925
"TLS",2016,0.09695,0.08137,0.1134
"PAN",2023,3.17504,NA,NA
"AZE",2002,2.63706,2.63706,2.63706
"MMR",2019,1.70782,1.3849,2.05496
"CRI",2018,0.04034,0.04034,0.04034
"NAM",2019,2.71172,1.93457,3.83444
"KEN",2005,139.90159,103.11391,186.80856
"PHL",2010,0.95706,0.6648,1.27336
"GMB",2004,277.24724,204.40236,360.1869
"ETH",2007,116.54401,34.0108,369.56676
"SSD",2016,264.9216,188.644,360.54067
"VNM",2015,0.1364,0.1364,0.1364
"SAU",2012,0.02826,0.02826,0.02826
"BGD",2008,7.51405,5.96364,9.3372
"ZMB",2009,165.49323,127.94074,211.42485
"PNG",2023,147.2018,102.06419,196.14806
"BEN",2004,488.13361,395.96981,593.9976
"UGA",2009,422.5317,337.46798,521.12192
"GNB",2005,93.76984,41.40811,183.28773
"GNB",2011,130.58214,72.41823,220.61179
"ERI",2020,48.27589,31.18062,67.23932
